Country,Continent,1985,2000,2015
"Senegal","Africa",55.8,60,66.1
"Serbia","Europe",72.6,74.7,78.1
"Seychelles","Africa",69.9,70.9,73.7
"Sierra Leone","Africa",49.5,52.2,58.5
"Singapore","Asia",73.1,78.6,82.1
"Slovak Republic","Europe",70.8,73.3,76.4
"Slovenia","Europe",71.8,75.8,80.2
"Solomon Islands","Oceania",60.2,61.7,64.1
"Somalia","Africa",52.8,54.3,58.7
"South Africa","Africa",62.8,57.1,63.72
"Spain","Europe",76.6,79.3,81.7
"Sri Lanka","Asia",70.5,72.4,76.5
"Sudan","Africa",54.9,64.4,69.5
"Suriname","South America",68.5,68.8,70.5
"Swaziland","Africa",60,48.7,51.5
"Sweden","Europe",76.9,79.7,82
"Switzerland","Europe",76.9,80,82.9
"Syria","Asia",68.5,73.8,70.26
"Taiwan","Asia",73,76,79.7
"Tajikistan","Asia",64.4,66.3,71
"Tanzania","Africa",57.9,54.8,63.43
"Thailand","Asia",70.4,71.3,75.1
"Timor-Leste","Asia",55.8,63.6,72.4
"Togo","Africa",57.5,59,64.23
"Tonga","Oceania",68,69.1,70.5
"Trinidad and Tobago","North America",68.5,69.4,71.4
"Tunisia","Africa",69.8,75,77.3
"Turkey","Asia",65.2,71.5,76.5
"Turkmenistan","Asia",62,63.1,67.9
"Uganda","Africa",52.3,50,60.8
"Ukraine","Europe",70,67.5,72.1
"United Arab Emirates","Asia",71.9,73.8,76.6
"United Kingdom","Europe",74.7,77.8,81.4
"United States","North America",74.8,77.1,79.1
"Uruguay","South America",72.1,74.6,77.3
"Uzbekistan","Asia",67,67.4,70.1
"Vanuatu","Oceania",62.3,63,65
"Venezuela","South America",72.2,74.3,75.8
"West Bank and Gaza","Asia",69.1,73.5,75.2
"Vietnam","Asia",67.4,72.6,76.5
"Yemen","Asia",57.8,63.5,67.6
"Zambia","Africa",56.9,45.7,58.96
"Zimbabwe","Africa",63.5,50.8,60.01
"South Sudan","Africa",51.1,54.1,58
