時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2011-03,10,12,13,14,6,21,4,4,11,7,19,15,15,19,3,19,6,14,8,9,10,8,10,5,3,19,21,11
2011-04,8,7,7,9,3,13,6,3,13,3,7,6,11,8,3,6,4,16,3,7,5,5,5,2,1,11,10,8
2011-05,17,18,17,16,8,20,16,7,22,9,16,15,18,18,5,18,23,22,14,21,17,16,17,7,12,18,20,18
2011-06,10,13,14,10,8,10,9,9,13,12,11,8,8,12,9,11,15,12,8,18,16,11,12,7,12,11,14,14
2011-07,12,14,12,9,12,11,10,14,14,16,8,8,8,11,13,10,21,14,11,25,17,13,7,14,16,12,12,14
2011-08,11,17,8,10,5,8,6,10,9,11,6,5,7,11,10,14,20,10,8,21,15,12,9,7,14,12,13,15
2011-09,2,9,14,6,2,16,3,8,11,8,11,5,8,14,2,12,10,12,5,12,9,9,3,2,12,13,18,6
2011-10,9,13,15,14,2,25,3,7,15,5,23,15,15,24,7,24,15,13,6,14,10,5,10,3,9,21,22,13
2011-11,14,18,16,16,9,27,8,10,16,8,25,23,15,24,9,23,13,18,9,15,10,10,15,8,14,24,23,13
2011-12,14,20,15,22,5,29,1,6,14,8,23,20,17,27,3,26,10,21,5,16,10,7,7,3,8,27,29,19
2012-01,15,16,9,18,9,26,12,0,9,10,20,20,15,26,5,26,8,13,10,14,10,10,16,9,0,27,24,15
2012-02,17,15,16,19,10,26,13,7,13,10,20,21,14,24,7,22,13,18,9,13,11,10,19,9,11,24,25,18
2012-03,14,13,17,13,5,22,13,2,14,4,19,17,19,17,2,12,4,19,8,4,8,5,14,3,4,20,8,12
2012-04,19,23,18,20,16,19,16,10,16,13,18,21,18,22,9,21,18,18,17,17,22,17,18,11,8,23,12,19
2012-05,16,18,18,16,10,23,15,15,16,13,20,15,21,17,14,17,21,22,14,17,18,14,17,11,11,17,20,17
2012-06,16,16,23,15,12,22,13,19,21,17,16,13,19,17,17,16,22,21,17,24,22,18,14,15,22,22,23,13
2012-07,10,8,13,4,7,16,6,14,10,14,10,7,10,7,10,6,21,11,8,18,19,14,7,6,19,13,16,7
2012-08,14,19,22,15,12,17,7,22,14,26,16,15,12,20,22,18,22,11,14,26,17,21,13,9,23,21,21,18
2012-09,8,11,13,11,1,13,6,3,12,5,10,7,8,12,5,12,15,15,4,14,7,5,12,1,10,13,21,10
2012-10,2,7,17,8,0,15,2,1,8,0,14,5,9,13,1,13,4,13,1,3,3,3,1,0,4,9,9,5
2012-11,14,15,15,14,9,24,13,5,15,10,19,14,18,18,9,17,15,20,10,14,11,11,13,8,3,16,19,14
2012-12,12,18,15,16,10,25,9,4,13,7,23,22,20,24,6,23,9,24,12,10,12,13,13,6,8,24,27,16
2013-01,12,13,13,13,6,24,0,0,8,4,21,16,14,22,4,21,5,18,7,8,7,8,7,4,8,22,20,14
2013-02,7,5,15,10,1,22,4,0,17,2,13,18,14,19,1,18,3,18,3,2,1,2,11,1,6,21,14,7
2013-03,13,11,7,12,8,15,10,5,4,8,14,12,10,18,5,15,10,16,10,8,9,14,14,6,2,16,11,14
2013-04,21,21,12,19,19,20,18,8,16,17,20,17,19,20,8,20,22,22,18,20,20,21,16,13,3,22,17,23
2013-05,16,16,18,11,16,23,13,14,18,14,18,16,24,17,14,15,26,21,14,25,25,18,19,12,15,15,16,18
2013-06,9,15,10,9,5,11,13,9,12,9,12,11,12,10,7,12,18,10,12,17,17,14,10,6,11,13,12,13
2013-07,11,11,16,5,6,9,10,12,10,20,7,5,8,5,9,6,19,11,11,25,21,21,4,8,17,3,19,12
2013-08,11,13,18,11,12,12,12,17,16,21,11,9,15,11,15,12,20,15,12,24,16,14,7,12,21,11,21,16
2013-09,7,10,14,11,3,17,6,7,14,9,14,11,15,15,6,15,10,15,4,17,8,6,8,2,14,13,24,11
2013-10,6,12,10,15,0,21,1,2,10,1,19,9,13,26,0,25,3,21,1,3,3,1,1,0,9,19,16,11
2013-11,11,11,10,10,3,23,5,2,10,3,18,17,13,19,3,19,13,13,6,11,7,6,9,4,7,21,18,15
2013-12,16,20,6,15,11,26,6,5,11,9,23,16,11,25,5,23,7,17,12,14,13,15,8,3,8,24,24,18
2014-01,5,5,8,6,1,13,0,0,4,0,8,5,5,8,0,7,1,12,0,1,0,1,2,0,2,7,16,6
2014-02,14,14,11,14,12,22,14,5,18,10,18,18,21,18,5,17,11,22,9,15,15,12,13,8,8,17,21,14
2014-03,16,14,8,15,6,18,12,2,13,7,16,14,17,18,2,18,10,19,12,11,8,13,13,5,2,16,12,15
2014-04,12,12,11,10,5,18,7,4,16,6,11,9,17,13,4,10,9,18,5,9,13,8,11,4,4,14,13,12
2014-05,22,21,11,20,17,27,23,13,15,20,25,23,22,22,18,24,29,18,19,31,27,22,21,13,9,24,15,22
2014-06,14,20,13,13,13,22,13,19,12,14,19,17,10,18,18,19,19,13,11,23,21,15,13,14,16,19,19,18
2014-07,5,9,11,10,3,14,4,9,6,13,6,6,5,9,14,10,11,9,8,18,13,10,5,7,11,10,14,12
2014-08,6,10,10,5,7,7,5,18,8,18,8,10,6,7,18,9,19,8,12,25,19,12,14,8,16,10,15,13
2014-09,4,7,11,4,5,11,2,10,10,7,10,8,8,13,10,11,16,11,4,19,12,8,8,5,10,14,11,7
2014-10,5,6,5,7,0,14,1,0,6,0,14,4,4,17,1,13,3,13,0,2,0,0,3,0,5,17,15,9
2014-11,7,8,9,8,1,19,5,1,9,3,18,11,9,19,1,19,7,12,4,7,4,1,8,2,2,16,23,9
2014-12,11,14,9,14,9,20,7,7,10,11,14,15,13,20,3,17,13,15,9,14,11,11,7,8,6,17,22,15
2015-01,5,6,7,6,3,13,4,2,9,4,12,9,7,13,1,12,4,17,4,4,6,6,4,3,3,12,14,8
2015-02,12,11,5,8,2,21,5,3,5,3,17,10,12,18,3,15,6,11,4,5,3,4,11,2,2,17,16,11
2015-03,15,13,6,9,4,18,12,0,11,6,13,16,13,14,2,13,3,21,9,7,6,10,14,4,1,18,19,13
2015-04,10,10,11,10,5,13,9,4,12,5,17,14,16,13,4,11,10,19,7,8,5,7,11,3,4,13,17,10
2015-05,13,18,10,14,10,19,20,11,17,14,20,17,19,19,14,17,24,18,15,23,20,15,18,8,8,18,13,15
2015-06,5,9,3,6,9,6,7,2,2,6,9,4,3,8,2,8,7,4,5,12,17,6,9,6,6,9,5,8
2015-07,5,13,10,6,8,8,9,15,11,15,10,6,5,9,15,10,20,9,12,24,17,12,8,10,15,10,11,13
2015-08,16,23,13,16,15,23,16,17,16,20,20,16,19,20,16,21,20,18,14,22,21,15,15,15,18,21,16,20
2015-09,8,14,12,6,4,18,9,6,7,7,17,13,10,14,5,13,11,14,7,13,6,6,17,7,8,14,16,10
2015-10,6,11,15,8,5,22,2,4,10,4,20,14,14,18,4,19,10,14,4,13,9,7,12,6,11,17,16,10
2015-11,2,9,11,5,0,22,0,2,12,1,21,14,19,21,1,19,6,20,1,5,3,1,10,0,4,18,24,9
2015-12,9,11,6,10,5,25,9,3,8,5,21,17,12,26,3,25,9,14,7,10,4,9,16,4,2,24,24,12
