時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2011-03,82,74,70,76,74,79,66,68,69,77,79,75,74,92,68,88,77,76,75,88,83,69,78,73,71,74,85,75
2011-04,76,68,70,76,76,74,76,69,71,74,73,78,71,81,66,81,68,76,74,81,76,64,81,75,72,71,82,71
2011-05,84,78,80,86,81,83,88,75,83,80,79,88,79,93,72,90,84,86,80,89,84,74,91,81,81,82,93,78
2011-06,76,74,78,80,83,78,89,76,80,76,80,89,76,88,72,86,73,85,77,84,84,71,89,83,83,75,91,74
2011-07,77,73,80,77,84,77,91,80,78,77,77,85,77,88,76,85,76,84,77,90,86,73,87,82,81,73,91,72
2011-08,75,73,76,75,80,73,86,76,76,76,75,83,73,88,72,83,75,79,76,88,84,72,85,79,81,73,89,70
2011-09,73,71,76,74,79,76,79,75,76,78,76,81,73,87,70,81,68,78,76,91,84,70,80,81,77,76,90,67
2011-10,78,77,77,79,75,84,69,77,76,81,82,77,76,92,72,88,75,77,77,91,84,70,79,81,74,79,90,72
2011-11,81,79,78,81,82,86,78,79,78,84,84,82,78,93,79,91,71,79,81,87,85,78,84,84,76,83,92,78
2011-12,82,83,72,84,76,85,67,76,74,78,84,77,74,96,75,92,72,75,77,89,84,72,73,78,72,83,92,79
2012-01,87,86,74,90,82,84,82,75,75,80,83,80,77,96,79,94,76,78,83,83,82,75,86,84,74,85,91,81
2012-02,91,86,76,88,84,86,83,76,74,80,83,83,78,94,80,94,85,79,86,89,81,75,87,85,78,87,91,80
2012-03,81,78,74,81,79,79,80,71,73,82,76,79,76,88,73,87,74,79,80,79,78,75,86,81,75,81,86,74
2012-04,78,76,77,81,80,79,86,77,77,80,77,81,77,89,74,85,92,82,79,91,81,75,86,81,78,77,89,74
2012-05,79,71,81,80,85,82,86,79,78,78,82,83,78,85,79,83,84,82,79,91,81,74,87,83,78,79,88,71
2012-06,84,73,86,82,86,84,88,83,83,83,81,90,81,91,84,89,88,88,83,93,89,79,85,86,84,81,93,77
2012-07,75,65,77,72,80,78,83,77,77,74,80,87,74,84,79,80,77,81,78,90,87,73,83,82,81,73,91,67
2012-08,80,75,77,79,84,80,80,83,78,81,81,89,76,88,84,84,85,82,80,95,88,77,86,85,86,77,92,73
2012-09,76,70,74,73,74,76,74,73,76,74,79,81,71,86,68,82,72,79,74,92,85,69,79,76,76,71,87,69
2012-10,70,67,68,77,68,72,66,69,69,72,76,71,71,86,69,82,50,71,71,78,81,64,73,71,69,69,80,66
2012-11,79,74,72,83,74,84,76,75,76,80,86,78,79,91,74,88,78,81,80,88,83,71,77,74,74,75,91,74
2012-12,82,77,71,84,77,85,77,74,76,81,86,81,78,94,72,89,76,81,81,85,88,73,78,75,73,78,87,75
2013-01,82,75,67,85,79,85,72,71,71,80,84,80,72,92,73,88,60,76,85,82,82,74,79,76,70,80,84,73
2013-02,82,75,74,87,82,86,79,73,78,80,85,88,75,94,73,91,56,80,88,80,81,74,84,80,73,86,86,76
2013-03,77,69,70,80,76,79,78,71,70,78,78,82,71,89,71,86,67,76,82,77,83,72,76,74,70,79,85,71
2013-04,81,74,75,81,80,81,85,76,76,82,84,81,80,90,76,88,88,81,82,91,93,79,77,80,74,78,89,76
2013-05,78,72,80,80,83,84,88,82,81,80,87,89,84,90,79,87,88,86,79,94,92,75,86,85,81,80,91,74
2013-06,74,69,75,76,83,80,91,77,77,74,83,91,77,87,75,84,81,83,77,86,87,72,84,85,78,77,88,71
2013-07,73,68,76,71,78,73,87,75,75,76,76,89,75,85,73,82,78,80,74,90,81,74,78,79,77,68,89,69
2013-08,75,68,78,75,85,77,87,81,77,82,80,88,76,83,79,83,85,82,78,92,82,77,80,82,80,72,88,70
2013-09,71,67,74,72,79,79,72,77,75,80,81,84,74,90,74,84,75,77,75,90,82,73,76,79,73,78,88,67
2013-10,68,68,69,74,70,74,62,69,68,77,77,76,72,92,69,86,55,70,72,83,80,65,66,72,68,74,83,68
2013-11,71,68,72,73,72,80,67,71,73,78,83,77,77,90,71,84,75,75,75,80,77,68,73,72,73,77,83,68
2013-12,74,71,69,78,73,81,65,67,71,78,83,74,73,95,72,87,71,72,76,83,75,70,70,70,69,79,85,73
2014-01,69,62,64,70,72,71,65,64,65,74,72,68,65,83,68,76,35,66,74,71,67,66,73,69,64,70,73,63
2014-02,80,71,74,83,79,80,79,70,76,80,82,84,79,90,75,86,81,79,82,84,80,74,83,75,74,81,86,75
2014-03,76,72,74,76,80,78,76,72,75,78,80,81,77,89,71,84,86,80,80,82,84,72,78,76,73,75,84,72
2014-04,75,77,76,77,79,81,78,74,76,79,82,83,80,87,73,83,77,80,79,85,81,69,79,76,73,79,84,74
