時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2011-03,29,29,30,29,30,29,29,29,30,29,29,29,29,29,29,29,30,29,30,30,29,29,29,29,30,17,30,29
2011-04,24,24,16,24,23,24,24,2,24,25,24,24,24,24,27,24,20,24,23,20,19,19,24,19,25,24,18,24
2011-05,31,11,6,18,29,11,30,29,30,29,29,30,30,30,29,29,30,28,31,7,3,29,31,29,7,11,12,11
2011-06,24,8,4,23,24,28,24,9,4,10,28,5,8,6,20,23,7,23,6,4,18,15,26,21,4,15,24,16
2011-07,9,8,31,27,29,6,28,25,26,7,9,5,7,8,27,23,9,9,15,5,9,27,30,6,6,8,8,24
2011-08,28,19,7,25,19,5,28,18,26,27,4,23,25,19,4,19,3,25,25,13,29,17,19,20,22,19,3,19
2011-09,6,17,30,17,22,6,23,7,6,18,16,22,6,5,10,6,5,6,6,18,27,18,23,19,13,7,6,9
2011-10,17,17,31,17,17,17,19,20,20,28,17,16,18,24,20,24,24,20,17,31,1,18,15,16,20,18,31,17
2011-11,20,22,1,25,23,20,14,22,25,29,22,26,25,5,1,20,29,25,23,26,7,24,24,23,26,26,21,22
2011-12,4,4,5,4,24,4,24,24,4,25,4,25,4,28,25,3,4,4,24,4,28,27,24,24,4,24,4,4
2012-01,17,18,3,17,2,18,1,28,27,11,16,2,18,18,19,18,17,27,2,28,17,18,4,2,16,2,3,18
2012-02,13,13,6,20,18,10,19,13,5,6,10,9,10,13,13,13,14,3,13,13,18,13,19,13,4,21,12,22
2012-03,26,30,28,28,24,26,26,27,26,27,26,26,26,28,30,30,5,25,30,5,26,30,26,31,29,26,26,30
2012-04,6,4,13,4,1,1,1,23,13,24,3,1,6,4,1,4,12,6,24,12,13,24,1,1,14,6,7,4
