時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2011-03,15,17,22,17,16,22,22,7,7,29,7,7,15,16,7,15,20,7,16,7,15,22,23,16,16,22,15,17
2011-04,5,19,11,23,12,23,5,8,23,16,3,27,23,23,30,11,29,11,23,17,27,19,26,4,23,27,16,19
2011-05,27,27,28,28,28,28,3,10,28,23,28,28,28,28,28,27,31,28,28,17,23,23,11,28,27,28,27,11
2011-06,5,25,7,25,24,28,28,9,12,11,20,25,10,25,10,25,21,24,24,2,1,11,10,11,25,25,25,25
2011-07,20,27,28,27,29,28,16,20,15,15,28,27,14,27,15,27,15,13,20,19,29,16,5,29,27,19,18,19
2011-08,28,29,29,29,29,28,28,29,28,30,28,28,28,29,29,28,29,30,30,29,29,30,29,30,29,29,29,29
2011-09,26,28,27,28,30,18,30,30,12,15,28,28,12,28,30,23,27,13,18,28,27,1,30,27,27,19,14,28
2011-10,2,2,2,3,3,3,3,20,2,3,3,3,2,3,3,2,14,25,3,24,1,25,3,2,2,3,26,2
2011-11,24,2,20,16,20,23,20,18,19,20,2,2,23,20,18,11,10,23,15,10,12,15,8,20,24,30,23,24
2011-12,19,25,9,6,8,8,16,3,8,8,24,1,8,8,2,12,5,8,9,5,29,16,9,9,9,1,11,4
2012-01,7,12,4,16,22,25,11,16,16,16,16,16,25,16,16,3,18,9,4,16,16,1,22,23,4,23,7,17
2012-02,2,2,7,20,17,7,7,28,6,13,12,7,7,20,28,25,28,7,2,24,25,28,7,18,8,7,2,2
2012-03,24,31,20,28,24,24,31,24,31,24,28,31,23,31,24,31,5,23,24,12,16,24,31,24,21,31,24,26
2012-04,29,3,3,26,26,3,3,28,3,24,3,8,26,1,24,26,21,25,26,26,16,24,24,20,3,25,26,29
2012-05,2,2,2,2,21,17,31,17,17,16,9,2,17,2,3,17,16,16,31,4,4,16,1,21,4,2,2,2
2012-06,3,29,28,29,20,29,20,20,19,20,29,20,30,29,20,3,20,19,20,20,11,20,23,20,20,20,20,11
2012-07,30,31,20,24,31,31,21,21,31,22,31,31,31,31,25,31,21,31,31,30,21,21,14,31,29,31,30,31
2012-08,1,1,24,2,1,2,29,2,24,2,2,1,2,1,2,2,24,24,2,2,2,1,24,1,24,1,28,2
2012-09,27,28,27,28,28,29,26,28,27,28,28,28,28,28,28,28,26,27,28,27,1,28,28,28,25,28,27,26
2012-10,28,5,11,25,11,12,10,22,11,10,17,17,11,17,17,23,16,11,17,15,31,17,11,10,31,17,11,29
2012-11,6,26,26,15,26,26,23,23,26,23,26,3,26,26,23,26,21,26,26,17,23,11,30,26,1,26,26,14
2012-12,12,6,30,13,23,30,6,30,30,30,30,27,30,30,30,29,5,30,23,30,24,30,1,23,6,30,30,4
2013-01,10,28,3,3,3,13,3,13,17,17,13,3,17,11,13,3,13,17,17,14,11,17,3,17,3,2,3,28
2013-02,8,6,22,24,19,15,8,27,19,19,15,26,8,23,19,8,13,8,19,1,10,22,7,19,8,8,8,16
2013-03,2,20,14,1,2,20,1,27,14,28,20,13,13,25,28,13,28,18,2,29,27,26,1,2,2,13,14,18
2013-04,10,7,6,30,6,30,2,6,14,30,30,5,6,11,6,12,7,21,7,5,3,6,30,7,26,30,10,7
2013-05,1,1,1,4,17,1,1,1,1,22,1,1,1,11,22,1,1,1,1,19,21,22,29,1,2,19,1,19
2013-06,24,4,21,14,24,21,2,21,24,4,3,21,21,14,23,2,13,24,24,24,24,24,25,22,27,28,27,27
2013-07,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13
2013-08,21,1,29,1,21,22,29,31,29,22,1,21,22,21,31,21,1,22,21,21,22,21,21,22,1,29,21,21
2013-09,21,21,21,21,21,21,21,22,21,1,21,22,21,21,22,21,21,21,20,21,21,15,21,21,21,21,20,21
2013-10,31,6,13,6,24,23,12,6,31,6,6,6,3,6,6,6,12,6,5,6,6,5,7,25,31,6,31,6
2013-11,5,1,25,9,28,25,4,25,25,25,25,27,25,21,25,7,26,13,17,24,18,25,1,28,26,27,13,10
2013-12,15,1,24,18,16,9,16,17,26,16,9,18,9,15,17,16,18,24,27,17,20,16,16,16,24,18,24,26
2014-01,15,19,15,21,15,20,21,8,15,18,19,14,15,31,14,8,4,14,14,12,16,18,13,15,14,15,21,15
2014-02,4,21,20,4,4,20,3,19,19,19,18,10,13,4,19,8,19,18,10,9,28,20,5,10,4,9,20,4
2014-03,21,10,20,2,21,13,20,31,13,29,8,20,20,20,31,20,31,20,20,13,29,20,20,20,21,29,20,29
2014-04,4,6,14,6,14,22,14,2,4,22,1,25,28,6,2,14,7,14,14,2,3,22,12,14,4,6,14,6
2014-05,18,14,22,14,5,5,5,20,5,5,5,5,5,5,9,5,9,5,5,20,12,15,14,5,3,14,15,14
2014-06,17,17,12,17,12,11,16,7,23,21,8,18,21,17,21,24,14,23,12,3,6,21,17,11,12,17,12,17
2014-07,22,23,22,23,23,23,24,23,23,23,23,23,23,23,23,23,23,22,23,23,22,23,23,23,23,23,22,23
2014-08,2,1,13,1,12,18,19,18,13,30,26,1,19,1,19,1,13,19,13,29,18,18,14,13,1,1,1,1
2014-09,14,15,21,21,21,21,15,21,21,21,15,21,21,21,21,22,15,22,20,22,15,22,21,21,21,21,21,15
2014-10,27,27,6,22,7,22,27,12,6,11,12,12,10,11,11,10,10,6,10,12,6,11,27,11,22,10,9,27
2014-11,3,26,18,17,17,17,3,8,2,2,26,17,2,17,2,14,25,18,17,6,14,2,2,17,13,2,3,22
2014-12,1,6,8,4,1,4,8,4,4,4,20,4,1,22,16,9,21,8,1,2,26,16,9,1,22,8,1,6
2015-01,19,19,19,13,19,1,12,14,30,22,14,13,30,13,14,29,29,19,1,13,29,14,12,8,12,30,19,19
2015-02,8,27,8,19,8,8,8,12,8,5,12,14,8,18,5,19,15,8,5,22,7,5,8,8,9,8,5,19
2015-03,24,24,9,23,10,23,9,23,9,23,27,1,4,25,23,24,3,3,23,9,4,9,18,24,24,25,10,24
2015-04,7,20,20,7,8,20,21,14,17,6,14,20,18,19,18,20,16,18,8,21,6,8,2,8,11,20,8,25
2015-05,18,10,11,28,20,12,21,25,12,15,12,28,12,12,25,21,24,12,12,31,5,18,15,21,3,28,11,28
2015-06,27,13,27,24,23,2,17,23,25,14,22,28,24,28,23,28,22,24,27,24,19,29,18,24,18,28,27,28
2015-07,2,10,11,15,20,10,23,8,11,10,10,11,19,10,10,10,8,22,10,20,11,10,22,20,11,11,11,11
2015-08,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,16,8,8,8,8,8,8,8
2015-09,28,28,28,28,29,28,6,28,29,29,28,29,28,28,29,28,29,28,28,28,28,28,29,29,28,28,28,28
2015-10,18,25,18,20,17,9,22,30,17,30,4,20,9,19,10,18,3,17,17,10,14,23,18,18,20,31,20,17
2015-11,27,22,26,15,26,26,9,26,26,26,9,25,26,26,25,3,27,10,26,14,14,26,11,26,27,25,26,22
2015-12,17,19,8,17,17,6,31,10,16,10,10,10,3,10,16,4,10,31,17,10,10,10,18,17,31,17,16,19
